2to3 3.11.2-1
libsasl2-2 2.1.28+dfsg-10
libsasl2-modules 2.1.28+dfsg-10
libsasl2-modules-db 2.1.28+dfsg-10
libsctp1 1.0.19+dfsg-2
libsdl2-2.0-0 2.26.5+dfsg-1
libseccomp2 2.5.4-1+b3
libsecret-1-0 0.20.5-3
libsecret-common 0.20.5-3
libsecret-tools 0.20.5-3
libselinux1 3.4-1+b6
libsemanage-common 3.4-1
libsemanage2 3.4-1+b5
libsensors-config 1:3.6.0-7.1
libsensors5 1:3.6.0-7.1
libsepol2 3.4-2.1
libsgutils2-1.46-2 1.46-3
libshine3 3.1.1-2
libshout3 2.4.6-1+b1
libsigc++-2.0-0v5 2.12.0-1
libsigsegv2 2.14-1
libslang2 2.3.3-3
libslirp0 4.7.0-1
libsm6 2:1.2.3-1
libsmartcols1 2.38.1-5+b1
libsmbclient 2:4.17.12+dfsg-0+deb12u1
libsnappy1v5 1.1.9-3
libsndfile1 1.2.0-1
libsndio7.0 1.9.0-0.3+b2
libsnmp-base 5.9.3+dfsg-2
libsnmp40 5.9.3+dfsg-2
libsodium23 1.0.18-1
libsoup-3.0-0 3.2.2-2
libsoup-3.0-common 3.2.2-2
libsoup2.4-1 2.74.3-1
libsoup2.4-common 2.74.3-1
libsoxr0 0.1.3-4
libspeex1 1.2.1-2
libspeexdsp1 1.2.1-1
libspice-server1 0.15.1-1
libsqlite3-0 3.40.1-2
libsquashfs1 1.2.0-1
libss2 1.47.0-2
libssh-4 0.10.5-2
libssh2-1 1.10.0-3+b1
libssl3 3.0.11-1~deb12u2
libstartup-notification0 0.12-6+b1
libstdc++-12-dev 12.2.0-14
libstdc++6 12.2.0-14
libstoken1 0.92-1
libstring-shellquote-perl 1.04-3
libsvtav1enc1 1.4.1+dfsg-1
libswresample4 7:5.1.4-0+deb12u1
libswscale6 7:5.1.4-0+deb12u1
libsys-virt-perl 9.0.0-1
libsysfs2 2.1.1-4
libsystemd-shared 252.19-1~deb12u1
libsystemd0 252.19-1~deb12u1
libtag1v5 1.13-2
libtag1v5-vanilla 1.13-2
libtalloc2 2.4.0-f2
libtasn1-6 4.19.0-2
libtcl8.6 8.6.13+dfsg-2
libtdb1 1.4.8-2
libteam-utils 1.31-1
libteam5 1.31-1
libteamdctl0 1.31-1
libterm-readline-gnu-perl 1.45-1
libtevent0 0.14.1-1
libtext-charwidth-perl 0.04-11
libtext-iconv-perl 1.7-8
libtext-wrapi18n-perl 0.06-10
libthai-data 0.1.29-1
libthai0 0.1.29-1
libtheora0 1.1.1+dfsg.1-16.1+b1
libthunarx-3-0 4.18.4-1
libtidy5deb1 2:5.6.0-11
libtie-ixhash-perl 1.23-4
libtiff6 4.5.0-6+deb12u1
libtime-duration-perl 1.21-2
libtimedate-perl 2.3300-2
libtinfo5 6.4-4
libtinfo6 6.4-4
libtirpc-common 1.3.3+ds-1
libtirpc-dev 1.3.3+ds-1
libtirpc3 1.3.3+ds-1
libtk8.6 8.6.13-2
libtomcrypt1 1.18.2-6
libtommath1 1.2.0-6
libtre5 0.8.0-7
libtry-tiny-perl 0.31-2
libtsan2 12.2.0-14
libtsk19 4.11.1+dfsg-1+b1
libtspi1 0.3.15-0.3
libtss2-esys-3.0.2-0 3.2.1-3
libtss2-mu0 3.2.1-3
libtss2-sys1 3.2.1-3
libtss2-tcti-cmd0 3.2.1-3
libtss2-tcti-device0 3.2.1-3
libtss2-tcti-mssim0 3.2.1-3
libtss2-tcti-swtpm0 3.2.1-3
libtss2-tctildr0 3.2.1-3
libtumbler-1-0 4.18.0-1
libturbojpeg0 1:2.1.5-2
libtwolame0 0.4.0-2
libubsan1 12.2.0-14
libuchardet0 0.0.7-1
libudev1 252.19-1~deb12u1
libudfread0 1.1.2-1
libudisks2-0 2.9.4-4
libunbound8 1.17.1-2+deb12u1
libunistring2 1.0-2
libunwind8 1.6.2-3
libupower-glib3 0.99.20-2
liburcu8 0.13.2-1
liburi-perl 5.17-1
liburing2 2.3-3
libusb-0.1-4 2:0.1.12-32
libusb-1.0-0 2:1.0.26-1
libusb-dev 2:0.1.12-32
libusbmuxd-tools 2.0.2-3
libusbmuxd6 2.0.2-3
libusbredirparser1 0.13.0-2
libutempter0 1.2.1-3
libuuid1 2.38.1-5+b1
libuutil3linux 2.1.11-1
libuv1 1.44.2-1
libv4l-0 1.22.1-5+b2
libv4lconvert0 1.22.1-5+b2
libva-drm2 2.17.0-1
libva-x11-2 2.17.0-1
libva2 2.17.0-1
libvdeplug2 4.0.1-4
libvdpau-va-gl1 0.4.2-1+b1
libvdpau1 1.5-2
libvhdi1 20210425-1+b2
libvirglrenderer1 0.10.4-1
libvirt-l10n 9.0.0-4
libvirt0 9.0.0-4
libvisual-0.4-0 0.4.0-19
libvmdk1 20200926-2+b2
libvncclient1 0.9.14+dfsg-1
libvncserver1 0.9.14+dfsg-1
libvolume-key1 0.3.12-5+b1
libvorbis0a 1.3.7-1
libvorbisenc2 1.3.7-1
libvorbisfile3 1.3.7-1
libvpx7 1.12.0-1+deb12u2
libvte-2.91-0 0.70.6-2~deb12u1
libvte-2.91-common 0.70.6-2~deb12u1
libvulkan1 1.3.239.0-1
libwacom-common 2.6.0-1
libwacom9 2.6.0-1
libwavpack1 5.6.0-1
libwayland-client0 1.21.0-1
libwayland-cursor0 1.21.0-1
libwayland-egl1 1.21.0-1
libwayland-server0 1.21.0-1
libwbclient0 2:4.17.12+dfsg-0+deb12u1
libwebp7 1.2.4-0.2+deb12u1
libwebpmux3 1.2.4-0.2+deb12u1
libwebrtc-audio-processing1 0.3-1+b1
libwim15 1.13.6-1
libwin-hivex-perl 1.3.23-1+b1
libwinpr2-2 2.10.0+dfsg1-1
libwnck-3-0 43.0-3
libwnck-3-common 43.0-3
libwrap0 7.6.q-32
libwww-perl 6.68-1
libwww-robotrules-perl 6.02-1
libx11-6 2:1.8.4-2+deb12u2
libx11-data 2:1.8.4-2+deb12u2
libx11-protocol-perl 0.56-9
libx11-xcb1 2:1.8.4-2+deb12u2
libx264-164 2:0.164.3095+gitbaee400-3
libx265-199 3.5-2+b1
libx86emu3 3.5-1
libxapian30 1.4.22-1
libxatracker2 22.3.6-1+deb12u1
libxau6 1:1.0.9-1
libxaw7 2:1.0.14-1
libxcb-damage0 1.15-1
libxcb-dri2-0 1.15-1
libxcb-dri3-0 1.15-1
libxcb-glx0 1.15-1
libxcb-present0 1.15-1
libxcb-randr0 1.15-1
libxcb-render0 1.15-1
libxcb-shape0 1.15-1
libxcb-shm0 1.15-1
libxcb-sync1 1.15-1
libxcb-util1 0.4.0-1+b1
libxcb-xfixes0 1.15-1
libxcb1 1.15-1
libxcomposite1 1:0.4.5-1
libxcursor1 1:1.2.1-1
libxcvt0 0.1.2-1
libxdamage1 1:1.1.6-1
libxdmcp6 1:1.1.2-3
libxdo3 1:3.20160805.1-5
libxext6 2:1.3.4-1+b1
libxfce4panel-2.0-4 4.18.2-1
libxfce4ui-2-0 4.18.2-2
libxfce4ui-common 4.18.2-2
libxfce4ui-utils 4.18.2-2
libxfce4util-bin 4.18.1-2
libxfce4util-common 4.18.1-2
libxfce4util7 4.18.1-2
libxfconf-0-3 4.18.0-2
libxfixes3 1:6.0.0-2
libxfont2 1:2.0.6-1
libxft2 2.3.6-1
libxi6 2:1.8-1+b1
libxinerama1 2:1.1.4-3
libxkbcommon0 1.5.0-1
libxkbfile1 1:1.1.0-1
libxklavier16 5.4-4
libxml-parser-perl 2.46-4
libxml-stream-perl 1.24-4
libxml-twig-perl 1:3.52-2
libxml-xpath-perl 1.48-1
libxml2 2.9.14+dfsg-1.3~deb12u1
libxmlsec1 1.2.37-2
libxmlsec1-openssl 1.2.37-2
libxmu6 2:1.1.3-3
libxmuu1 2:1.1.3-3
libxnvctrl0 525.85.05-3~deb12u1
libxpm4 1:3.5.12-1.1+deb12u1
libxpresent1 1.0.0-2+b10
libxrandr2 2:1.5.2-2+b1
libxrender1 1:0.9.10-1.1
libxres1 2:1.2.1-1
libxshmfence1 1.3-1
libxslt1.1 1.1.35-1
libxss1 1:1.2.3-1
libxt6 1:1.2.1-1.1
libxtables12 1.8.9-2
libxtst6 2:1.2.3-1.1
libxv1 2:1.0.11-1.1
libxvidcore4 2:1.3.7-1
libxvmc1 2:1.0.12-2
libxxf86dga1 2:1.1.5-1
libxxf86vm1 1:1.1.4-1+b2
libxxhash0 0.8.1-1
libyajl2 2.1.0-3+deb12u2
libyaml-0-2 0.2.5-1
libyara9 4.2.3-4
libyuv0 0.0~git20230123.b2528b0-1
libz3-4 4.8.12-3.1
libzfs4linux 2.1.11-1
libzip4 1.7.3-1+b1
libzpool5linux 2.1.11-1
libzstd1 1.5.4+dfsg2-5
libzvbi-common 0.2.41-1
libzvbi0 0.2.41-1
linux-base 4.9
linux-image-6.1.0-16-amd64 6.1.67-1
linux-image-amd64 6.1.67-1
linux-libc-dev 6.1.67-1
live-boot 1:20230131
live-boot-initramfs-tools 1:20230131
live-tools 1:20190831.1
lm-sensors 1:3.6.0-7.1
localepurge 0.7.3.10
locales 2.36-9+deb12u3
login 1:4.13+dfsg1-1+b1
logrotate 3.21.0-1
logsave 1.47.0-2
lrzip 0.651-2
lrzsz 0.12.21-10+b1
lsb-release 12.0-1
lshw 02.19.git.2021.06.19.996aaad9c7-2+b1
lshw-gtk 02.19.git.2021.06.19.996aaad9c7-2+b1
lsof 4.95.0-1
lsscsi 0.31-1+b1
lua-lpeg 1.0.2-2
lvm2 2.03.16-2
lz4 1.9.4-1
lzop 1.04-2
m4 1.4.19-3
mailcap 3.70+nmu1
make 4.3-4.1
man-db 2.11.2-2
manpages 6.03-2
manpages-dev 6.03-2
mawk 1.3.4.20200120-3.1
mc 3:4.8.29-2
mc-data 3:4.8.29-2
mdadm 4.2-5
media-types 10.0.0
memtester 4.6.0-1
menu 2.1.49
mesa-va-drivers 22.3.6-1+deb12u1
mesa-vdpau-drivers 22.3.6-1+deb12u1
mesa-vulkan-drivers 22.3.6-1+deb12u1
mime-support 3.66
minicom 2.8-2
mlocate 1.1.18-1
mobile-broadband-provider-info 20230416-1
modemmanager 1.20.4-1
mokutil 0.6.0-2
moreutils 0.67-1
mount 2.38.1-5+b1
mtools 4.0.33-1+really4.0.32-1
mtr 0.95-1
multipath-tools 0.9.4-3+deb12u1
nano 7.2-1
nbd-client 1:3.24-1.1
nbd-server 1:3.24-1.1
ncat 7.93+dfsg1-1
ncdu 1.18-0.2
ncurses-base 6.4-4
ncurses-bin 6.4-4
ncurses-term 6.4-4
ndisc6 1.0.5-1+b2
net-tools 2.10-0.1
netbase 6.4
netcat-traditional 1.10-47
netdiag 1.2-1.2
netpbm 2:11.01.00-2
nettle-bin 3.8.1-2
network-manager 1.42.4-1
network-manager-gnome 1.30.0-2
network-manager-openvpn 1.10.2-2
network-manager-vpnc 1.2.8-4
nfs-common 1:2.6.2-4
nfs-kernel-server 1:2.6.2-4
nftables 1.0.6-2+deb12u2
nmap 7.93+dfsg1-1
nmap-common 7.93+dfsg1-1
ntfs-3g 1:2022.10.3-1+b1
ntpdate 1:4.2.8p15+dfsg-2~1.2.2+dfsg1-1+deb12u1
ntpsec-ntpdate 1.2.2+dfsg1-1+deb12u1
ntpsec-ntpdig 1.2.2+dfsg1-1+deb12u1
nullmailer 1:2.2-4
numactl 2.0.16-1
nvme-cli 2.4+really2.3-3
nwipe 0.34-1+b1
oathtool 2.6.7-3.1
ocl-icd-libopencl1 2.3.1-1
openconnect 9.01-3
openipmi 2.0.33-1+b1
opensc 0.23.0-0.3+deb12u1
opensc-pkcs11 0.23.0-0.3+deb12u1
openssh-client 1:9.2p1-2+deb12u2
openssh-server 1:9.2p1-2+deb12u2
openssh-sftp-server 1:9.2p1-2+deb12u2
openssl 3.0.11-1~deb12u2
openvpn 2.6.3-1+deb12u2
os-prober 1.81
osinfo-db 0.20221130-2
ovmf 2022.11-6
p11-kit 0.24.1-2
p11-kit-modules 0.24.1-2
p7zip 16.02+dfsg-8
p7zip-full 16.02+dfsg-8
pahole 1.24-4.1
paperkey 1.6-1
par2 0.8.1-3
partclone 0.3.23+repack-1
parted 3.5-3
partimage 0.6.9-10
partimage-server 0.6.9-10
passwd 1:4.13+dfsg1-1+b1
patch 2.7.6-7
pavucontrol 5.0-2
pci.ids 0.0~2023.04.11-1
pciutils 1:3.9.0-4
pcscd 1.9.9-2
perl 5.36.0-7+deb12u1
perl-base 5.36.0-7+deb12u1
perl-modules-5.36 5.36.0-7+deb12u1
perl-openssl-defaults 7+b1
perltidy 20220613-1
picocom 3.1-4
pigz 2.6-1
pinentry-curses 1.2.1-1
pinentry-gnome3 1.2.1-1
pkexec 122-3
plocate 1.1.18-1
plymouth 22.02.122-3
plymouth-label 22.02.122-3
policykit-1 122-3
policykit-1-gnome 0.105-8
polkitd 122-3
polkitd-pkla 122-3
poppler-data 0.4.12-1
powermgmt-base 1.37
ppp 2.4.9-1+1.1+b1
pppoe 3.15-2
procps 2:4.0.2-3
psmisc 23.6-1
pulseaudio 16.1+dfsg1-2+b1
pulseaudio-utils 16.1+dfsg1-2+b1
pv 1.6.20-1
python-apt-common 2.6.0
python3 3.11.2-1+b1
python3-apt 2.6.0
python3-asn1crypto 1.5.1-2
python3-avahi 0.8-10
python3-certifi 2022.9.24-1
python3-chardet 5.1.0+dfsg-2
python3-charset-normalizer 3.0.1-2
python3-dbus 1.3.2-4+b1
python3-debian 0.1.49
python3-debianbts 4.0.1
python3-distutils 3.11.2-3
python3-gdbm 3.11.2-3
python3-gi 3.42.2-3+b1
python3-gpg 1.18.0-3+b1
python3-html5lib 1.1-3
python3-httplib2 0.20.4-3
python3-idna 3.3-1
python3-ldb 2:2.6.2+samba4.17.12+dfsg-0+deb12u1
python3-lib2to3 3.11.2-3
python3-mechanize 1:0.4.8+pypi-5
python3-minimal 3.11.2-1+b1
python3-netifaces 0.11.0-2+b1
python3-ntp 1.2.2+dfsg1-1+deb12u1
python3-pkg-resources 66.1.1-1
python3-pycurl 7.45.2-3
python3-pylibacl 0.7.0-2
python3-pyparsing 3.0.9-1
python3-pysimplesoap 1.16.2-5
python3-pyxattr 0.8.1-1
python3-reportbug 12.0.0
python3-requests 2.28.1+dfsg-1
python3-samba 2:4.17.12+dfsg-0+deb12u1
python3-setuptools 66.1.1-1
python3-six 1.16.0-4
python3-talloc 2.4.0-f2
python3-tdb 1.4.8-2
python3-urllib3 1.26.12-1
python3-webencodings 0.5.1-5
python3-yaml 6.0-3+b2
python3.11 3.11.2-6
python3.11-minimal 3.11.2-6
qemu-block-extra 1:7.2+dfsg-7+deb12u3
qemu-guest-agent 1:7.2+dfsg-7+deb12u3
qemu-system-common 1:7.2+dfsg-7+deb12u3
qemu-system-data 1:7.2+dfsg-7+deb12u3
qemu-system-gui 1:7.2+dfsg-7+deb12u3
qemu-system-x86 1:7.2+dfsg-7+deb12u3
qemu-utils 1:7.2+dfsg-7+deb12u3
qrencode 4.1.1-1
rake 13.0.6-3
rar 2:6.23-1~deb12u1
rclone 1.60.1+dfsg-2+b5
rcs 5.10.1-1
rdesktop 1.9.0-2+b1
rdiff 2.3.2-1+b1
rdiff-backup 2.2.2-1
rdiff-backup-fs 1.0.0-7
readline-common 8.2-1.3
recode 3.6-25
reiser4progs 1.2.2-1+b1
reiserfsprogs 1:3.6.27-4
remmina 1.4.29+dfsg-1
remmina-common 1.4.29+dfsg-1
remmina-plugin-rdp 1.4.29+dfsg-1
remmina-plugin-secret 1.4.29+dfsg-1
remmina-plugin-vnc 1.4.29+dfsg-1
rename 2.01-1
reportbug 12.0.0
ristretto 0.12.4-1
rpcbind 1.2.6-6+b1
rpcsvc-proto 1.4.3-1
rpm-common 4.18.0+dfsg-1+b1
rsync 3.2.7-1
rsyslog 8.2302.0-1
rtkit 0.13-5
ruby 1:3.1
ruby-net-telnet 0.2.0-1
ruby-rubygems 3.3.15-2
ruby-sdbm 1.0.0-5+b1
ruby-webrick 1.8.1-1
ruby-xmlrpc 0.3.2-2
ruby3.1 3.1.2-7
rubygems-integration 1.18
runit-helper 2.15.2
samba-common 2:4.17.12+dfsg-0+deb12u1
samba-common-bin 2:4.17.12+dfsg-0+deb12u1
samba-dsdb-modules 2:4.17.12+dfsg-0+deb12u1
samba-libs 2:4.17.12+dfsg-0+deb12u1
sane-airscan 0.99.27-1+b1
sane-utils 1.2.1-2
sasl2-bin 2.1.28+dfsg-10
sbsigntool 0.9.4-3.1
screen 4.9.0-4
scrounge-ntfs 0.9-10
scrub 2.6.1-1+b1
sdparm 1.12-1
seabios 1.16.2-1
sed 4.9-1
sensible-utils 0.0.17+nmu1
sg3-utils 1.46-3
sg3-utils-udev 1.46-3
sgml-base 1.31
shared-mime-info 2.2-1
shim-helpers-amd64-signed 1+15.7+1
shim-signed 1.39+15.7-1
shim-signed-common 1.39+15.7-1
shim-unsigned 15.7-1
sleuthkit 4.11.1+dfsg-1+b1
smartmontools 7.3-1+b1
smbclient 2:4.17.12+dfsg-0+deb12u1
socat 1.7.4.4-2
sound-theme-freedesktop 0.8-2
sqlite3 3.40.1-2
squashfs-tools 1:4.5.1-1
squashfs-tools-ng 1.2.0-1
ssh 1:9.2p1-2+deb12u2
ssh-askpass 1:1.2.4.1-16
stoken 0.92-1
strace 6.1-0.1
stress 1.0.7-1
sudo 1.9.13p3-1+deb12u1
supermin 5.2.2-1+b5
sysfsutils 2.1.1-4
syslinux 3:6.04~git20190206.bf6db5b4+dfsg1-3+b1
syslinux-common 3:6.04~git20190206.bf6db5b4+dfsg1-3
syslinux-efi 3:6.04~git20190206.bf6db5b4+dfsg1-3
syslinux-utils 3:6.04~git20190206.bf6db5b4+dfsg1-3+b1
sysstat 12.6.1-1
systemd 252.19-1~deb12u1
systemd-sysv 252.19-1~deb12u1
systemd-timesyncd 252.19-1~deb12u1
sysvinit-utils 3.06-4
tango-icon-theme 0.8.90-11
tar 1.34+dfsg-1.2
tasksel 3.73
tasksel-data 3.73
tcl 8.6.13
tcl8.6 8.6.13+dfsg-2
tcpdump 4.99.3-1
telnet 0.17+2.4-2+deb12u1
testdisk 7.1-5+nmu1
thin-provisioning-tools 0.9.0-2
thunar 4.18.4-1
thunar-data 4.18.4-1
thunar-volman 4.18.0-1
tidy 2:5.6.0-11
tightvnc-java 1.3.10-4
tk 8.6.13
tk8.6 8.6.13-2
tmate 2.4.0-2
tmux 3.3a-3
tpm-udev 0.6
traceroute 1:2.1.2-1
tree 2.1.0-1
tumbler 4.18.0-1
tumbler-common 4.18.0-1
tzdata 2023c-5+deb12u1
ucf 3.0043+nmu1
udev 252.19-1~deb12u1
udftools 2.3-1
udisks2 2.9.4-4
unzip 6.0-28
update-inetd 4.53
upower 0.99.20-2
usb-modeswitch 2.6.1-3+b1
usb-modeswitch-data 20191128-5
usb.ids 2023.05.17-0+deb12u1
usbmuxd 1.1.1-2
usbutils 1:014-1
usr-is-merged 35
util-linux 2.38.1-5+b1
util-linux-extra 2.38.1-5+b1
uuid-runtime 2.38.1-5+b1
va-driver-all 2.17.0-1
vdpau-driver-all 1.5-2
vim-common 2:9.0.1378-2
vim-gtk3 2:9.0.1378-2
vim-gui-common 2:9.0.1378-2
vim-runtime 2:9.0.1378-2
vim-tiny 2:9.0.1378-2
virt-p2v 1.42.3-1
vlock 2.2.2-11+b1
vmfs6-tools 0.2.1-1+b1
vpnc 0.5.3+git20220927-1
vpnc-scripts 0.1~git20220510-1
wakeonlan 0.41-12.1
wamerican 2020.12.07-2
webext-ublock-origin-firefox 1.46.0+dfsg-1
wget 1.21.3-1+b2
whiptail 0.52.23-1+b1
whois 5.5.17
wimtools 1.13.6-1
wipe 0.24-9+b1
wireless-regdb 2022.06.06-1
wireless-tools 30~pre9-14
wodim 9:1.1.11-3.4
wpasupplicant 2:2.10-12
x11-apps 7.7+9
x11-common 1:7.7+23
x11-session-utils 7.7+5
x11-utils 7.7+5
x11-xkb-utils 7.7+7
x11-xserver-utils 7.7+9+b1
x11vnc 0.9.16-9
xarchiver 1:0.5.4.20-2
xauth 1:1.1.2-1
xbitmaps 1.1.1-2.2
xclip 0.13-2
xcvt 0.1.2-1
xdg-user-dirs 0.18-1
xdg-utils 1.1.3-4.1
xdotool 1:3.20160805.1-5
xfburn 0.6.2-1+b1
xfce4 4.18
xfce4-appfinder 4.18.0-1
xfce4-helpers 4.18.2-1
xfce4-notifyd 0.7.3-1
xfce4-panel 4.18.2-1
xfce4-power-manager 4.18.1-1
xfce4-power-manager-data 4.18.1-1
xfce4-power-manager-plugins 4.18.1-1
xfce4-pulseaudio-plugin 0.4.5-1
xfce4-screenshooter 1.10.3-1
xfce4-session 4.18.1-1
xfce4-settings 4.18.2-1
xfce4-systemload-plugin 1.3.2-2
xfce4-taskmanager 1.5.5-1
xfce4-terminal 1.0.4-1
xfce4-whiskermenu-plugin 2.7.2-1
xfce4-xkb-plugin 1:0.8.3-1
xfconf 4.18.0-2
xfdesktop4 4.18.1-1
xfdesktop4-data 4.18.1-1
xfonts-100dpi 1:1.0.5
xfonts-75dpi 1:1.0.5
xfonts-base 1:1.0.5+nmu1
xfonts-encodings 1:1.0.4-2.2
xfonts-scalable 1:1.0.3-1.3
xfonts-utils 1:7.7+6
xfsprogs 6.1.0-1
xfwm4 4.18.0-1
xiccd 0.3.0-2
xinit 1.4.0-1
xkb-data 2.35.1-1
xml-core 0.18+nmu1
xorg 1:7.7+23
xorg-docs-core 1:1.7.1-1.2
xorriso 1.5.4-4
xscreensaver 6.06+dfsg1-3
xscreensaver-data 6.06+dfsg1-3
xsel 1.2.0+git9bfc13d.20180109-4
xserver-common 2:21.1.7-3+deb12u4
xserver-xorg 1:7.7+23
xserver-xorg-core 2:21.1.7-3+deb12u4
xserver-xorg-input-all 1:7.7+23
xserver-xorg-input-libinput 1.2.1-1+b1
xserver-xorg-input-wacom 1.1.0-1
xserver-xorg-legacy 2:21.1.7-3+deb12u4
xserver-xorg-video-all 1:7.7+23
xserver-xorg-video-amdgpu 23.0.0-1
xserver-xorg-video-ati 1:19.1.0-3
xserver-xorg-video-fbdev 1:0.5.0-2
xserver-xorg-video-intel 2:2.99.917+git20210115-1
xserver-xorg-video-nouveau 1:1.0.17-2
xserver-xorg-video-qxl 0.1.5+git20200331-3
xserver-xorg-video-radeon 1:19.1.0-3
xserver-xorg-video-vesa 1:2.5.0-1+b1
xserver-xorg-video-vmware 1:13.3.0-3.1+b1
xterm 379-1
xtrace 1.4.0-1+b1
xz-utils 5.4.1-0.2
zerofree 1.1.1-1
zfs-dkms 2.1.11-1
zfs-initramfs 2.1.11-1
zfs-zed 2.1.11-1
zfsutils-linux 2.1.11-1
zip 3.0-13
zlib1g 1:1.2.13.dfsg-1
zlib1g-dev 1:1.2.13.dfsg-1
zsh 5.9-4+b2
zsh-common 5.9-4
zstd 1.5.4+dfsg2-5
