2to3 3.11.2-1
gnome-themes-extra 3.28-2
gnome-themes-extra-data 3.28-2
gnupg 2.2.40-1.1
gnupg-l10n 2.2.40-1.1
gnupg-utils 2.2.40-1.1
gnutls-bin 3.7.9-2+deb12u1
gocryptfs 2.3-1+b4
gpart 1:0.3-10
gparted 1.3.1-1
gparted-common 1.3.1-1
gpg 2.2.40-1.1
gpg-agent 2.2.40-1.1
gpg-wks-client 2.2.40-1.1
gpg-wks-server 2.2.40-1.1
gpgconf 2.2.40-1.1
gpgsm 2.2.40-1.1
gpgv 2.2.40-1.1
grep 3.8-5
groff-base 1.22.4-10
grsync 1.3.0-1+b1
grub-common 2.06-13+deb12u1
grub-efi-amd64-bin 2.06-13+deb12u1
grub-efi-amd64-signed 1+2.06+13+deb12u1
grub-efi-ia32-bin 2.06-13+deb12u1
grub-pc-bin 2.06-13+deb12u1
grub2-common 2.06-13+deb12u1
gsettings-desktop-schemas 43.0-1
gsmartcontrol 1.1.4-1
gstreamer1.0-plugins-base 1.22.0-3+deb12u1
gstreamer1.0-plugins-good 1.22.0-5+deb12u1
gstreamer1.0-x 1.22.0-3+deb12u1
gtk-update-icon-cache 3.24.38-2~deb12u1
gtk2-engines-pixbuf 2.24.33-2
guestfish 1:1.48.6-2
guestfs-tools 1.48.2-1+deb12u1
guestmount 1:1.48.6-2
gvfs 1.50.3-1
gvfs-common 1.50.3-1
gvfs-daemons 1.50.3-1
gvfs-libs 1.50.3-1
gzip 1.12-1
hardinfo 0.5.1+git20180227-2.1+b1
hashalot 0.3-10
hdparm 9.65+ds-1
hexcurse 1.58-1.4
hfsplus 1.0.4-17
hicolor-icon-theme 0.17-2
hostname 3.23+nmu1
htop 3.2.2-2
hwinfo 21.82-1
hwloc-nox 2.9.0-1
i965-va-driver 2.4.1+dfsg1-1
ibverbs-providers 44.0-2
icoutils 0.32.3-4
icu-devtools 72.1-3
ideviceinstaller 1.1.1-1
idevicerestore 1.0.0-3+b1
ifenslave 2.13
iftop 1.0~pre4-9
ifupdown 0.8.41
inetutils-telnet 2:2.4-2+deb12u1
info 6.8-6+b1
init 1.65.2
init-system-helpers 1.65.2
initramfs-tools 0.142
initramfs-tools-core 0.142
install-info 6.8-6+b1
intel-media-va-driver 23.1.1+dfsg1-1
intel-microcode 3.20231114.1~deb12u1
ioping 1.3-1
iotop 0.6-42-ga14256a-0.1+b2
ipcalc 0.42-2
iperf 2.1.8+dfsg-1
iperf3 3.12-1+deb12u1
ipmitool 1.8.19-4
ipp-usb 0.9.23-1+b4
iproute2 6.1.0-3
iptraf-ng 1:1.2.1-1
iputils-arping 3:20221126-1
iputils-clockdiff 3:20221126-1
iputils-ping 3:20221126-1
ipxe-qemu 1.0.0+git-20190125.36a4c85-5.1
isc-dhcp-client 4.4.3-P1-2
isc-dhcp-common 4.4.3-P1-2
iso-codes 4.15.0-1
isolinux 3:6.04~git20190206.bf6db5b4+dfsg1-3
isomd5sum 1:1.2.3-5+b4
iucode-tool 2.3.1-3
javascript-common 11+nmu1
jfsutils 1.1.15-5
jq 1.6-2.1
kbd 2.5.1-1+b1
keyboard-configuration 1.221
keyutils 1.6.3-2
klibc-utils 2.0.12-1
